시간,심볼,유형,방향,가격,수량,수익(USDT),수익률(%),레버리지,주문ID
2026-05-19 22:33:43,HYPE/USDT:USDT,청산,sell,48.19,10.0,0.6,12.45,10,ID_3580097605947039744
2026-05-19 22:36:25,BTC/USDT:USDT,진입,buy,76998.9,0.01,0.0,0.0,10,ID_3580103049784532992
2026-05-19 22:36:25,BTC/USDT:USDT,진입,buy,76998.9,0.05,0.0,0.0,10,ID_3580103049784532992
2026-05-19 22:45:21,EDEN/USDT:USDT,진입,buy,0.06357,80.0,0.0,0.0,10,ID_3580121029423603714
2026-05-19 22:45:21,EDEN/USDT:USDT,진입,buy,0.06357,706.0,0.0,0.0,10,ID_3580121029423603714
2026-05-19 22:46:58,NVDA/USDT:USDT,청산,sell,220.46,0.05,-0.0945,-8.57,10,ID_3580124289471553540
2026-05-19 22:46:58,NVDA/USDT:USDT,청산,sell,220.46,0.17,-0.3213,-8.57,10,ID_3580124289471553540
2026-05-19 22:48:31,EDEN/USDT:USDT,청산,sell,0.06303,773.0,-0.4174,-8.57,10,ID_3580127432045436928
2026-05-19 22:48:31,EDEN/USDT:USDT,청산,sell,0.06302,13.0,-0.0072,-8.73,10,ID_3580127432045436928
2026-05-19 22:51:49,COIN/USDT:USDT,진입,buy,189.96,0.2,0.0,0.0,10,ID_3580134046563508224
2026-05-19 22:51:49,COIN/USDT:USDT,진입,buy,189.98,0.06,0.0,0.0,10,ID_3580134046563508224
2026-05-19 22:52:42,CORE/USDT:USDT,진입,buy,0.03621,943.0,0.0,0.0,10,ID_3580135831726399488
2026-05-19 22:52:42,CORE/USDT:USDT,진입,buy,0.03621,438.0,0.0,0.0,10,ID_3580135831726399488
2026-05-19 23:00:18,NVDA/USDT:USDT,진입,sell,220.72,0.22,0.0,0.0,10,ID_3580151156169711616
2026-05-19 23:02:19,CORE/USDT:USDT,청산,sell,0.03589,345.0,-0.1104,-8.92,10,ID_3580155215115132928
2026-05-19 23:02:19,CORE/USDT:USDT,청산,sell,0.03589,1.0,-0.0003,-8.92,10,ID_3580155215115132928
2026-05-19 23:02:19,CORE/USDT:USDT,청산,sell,0.03589,144.0,-0.0461,-8.92,10,ID_3580155215115132928
2026-05-19 23:02:19,CORE/USDT:USDT,청산,sell,0.03589,10.0,-0.0032,-8.92,10,ID_3580155215115132928
2026-05-19 23:02:19,CORE/USDT:USDT,청산,sell,0.03589,24.0,-0.0077,-8.92,10,ID_3580155215115132928
2026-05-19 23:02:19,CORE/USDT:USDT,청산,sell,0.03589,2.0,-0.0006,-8.92,10,ID_3580155215115132928
2026-05-19 23:02:19,CORE/USDT:USDT,청산,sell,0.03589,1.0,-0.0003,-8.92,10,ID_3580155215115132928
2026-05-19 23:02:19,CORE/USDT:USDT,청산,sell,0.03589,854.0,-0.2733,-8.92,10,ID_3580155215115132928
2026-05-19 23:02:21,METIS/USDT:USDT,진입,sell,3.401,1.0,0.0,0.0,10,ID_3580155257091727360
2026-05-19 23:02:21,METIS/USDT:USDT,진입,sell,3.4,17.0,0.0,0.0,10,ID_3580155257091727360
2026-05-19 23:02:21,METIS/USDT:USDT,진입,sell,3.4,3.0,0.0,0.0,10,ID_3580155257091727360
2026-05-19 23:02:21,METIS/USDT:USDT,진입,sell,3.4,126.0,0.0,0.0,10,ID_3580155257091727360
2026-05-19 23:14:46,ZRO/USDT:USDT,청산,sell,1.327,4.0,0.004,0.75,10,ID_3580180277356601344
2026-05-19 23:14:46,ZRO/USDT:USDT,청산,sell,1.327,1.0,0.001,0.75,10,ID_3580180277356601344
2026-05-19 23:14:46,ZRO/USDT:USDT,청산,sell,1.327,5.0,0.005,0.75,10,ID_3580180277356601344
2026-05-19 23:14:46,ZRO/USDT:USDT,청산,sell,1.327,25.0,0.025,0.75,10,ID_3580180277356601344
2026-05-19 23:14:46,ZRO/USDT:USDT,청산,sell,1.327,2.0,0.002,0.75,10,ID_3580180277356601344
2026-05-19 23:14:48,LPT/USDT:USDT,진입,sell,2.034,245.0,0.0,0.0,10,ID_3580180336076857344
2026-05-19 23:14:48,COIN/USDT:USDT,청산,sell,188.33,0.26,-0.425,-8.68,10,ID_3580180345371435008
2026-05-19 23:14:59,EDEN/USDT:USDT,진입,buy,0.063,81.0,0.0,0.0,10,ID_3580180701149077504
2026-05-19 23:14:59,EDEN/USDT:USDT,진입,buy,0.06302,81.0,0.0,0.0,10,ID_3580180701149077504
2026-05-19 23:14:59,EDEN/USDT:USDT,진입,buy,0.06302,8.0,0.0,0.0,10,ID_3580180701149077504
2026-05-19 23:14:59,EDEN/USDT:USDT,진입,buy,0.06302,623.0,0.0,0.0,10,ID_3580180701149077504
2026-05-19 23:16:22,EDEN/USDT:USDT,청산,sell,0.06251,793.0,-0.4028,-8.13,10,ID_3580183503380357120
2026-05-19 23:16:30,CRCL/USDT:USDT,진입,sell,110.35,0.4,0.0,0.0,10,ID_3580183763829858304
2026-05-19 23:19:16,BTC/USDT:USDT,청산,sell,76445.4,0.05,-0.2767,-7.24,10,ID_3580189321651757056
2026-05-19 23:19:16,BTC/USDT:USDT,청산,sell,76445.4,0.01,-0.0554,-7.24,10,ID_3580189321651757056
2026-05-19 23:19:18,NMR/USDT:USDT,진입,sell,9.345,1.0,0.0,0.0,10,ID_3580189376647471104
2026-05-19 23:19:18,NMR/USDT:USDT,진입,sell,9.345,6.0,0.0,0.0,10,ID_3580189376647471104
2026-05-19 23:19:18,NMR/USDT:USDT,진입,sell,9.345,46.0,0.0,0.0,10,ID_3580189376647471104
2026-05-19 23:22:38,NVDA/USDT:USDT,청산,buy,218.57,0.22,0.473,9.84,10,ID_3580196104881512449
2026-05-19 23:22:57,EDEN/USDT:USDT,진입,buy,0.06211,804.0,0.0,0.0,10,ID_3580196729530818560
2026-05-19 23:25:40,EDEN/USDT:USDT,청산,sell,0.06161,1.0,-0.0005,-8.12,10,ID_3580202220042526720
2026-05-19 23:25:40,EDEN/USDT:USDT,청산,sell,0.06161,15.0,-0.0075,-8.12,10,ID_3580202220042526720
2026-05-19 23:25:40,EDEN/USDT:USDT,청산,sell,0.06161,401.0,-0.2005,-8.12,10,ID_3580202220042526720
2026-05-19 23:25:40,EDEN/USDT:USDT,청산,sell,0.06161,1.0,-0.0005,-8.12,10,ID_3580202220042526720
2026-05-19 23:25:40,EDEN/USDT:USDT,청산,sell,0.06161,109.0,-0.0545,-8.12,10,ID_3580202220042526720
2026-05-19 23:25:40,EDEN/USDT:USDT,청산,sell,0.06161,12.0,-0.006,-8.12,10,ID_3580202220042526720
2026-05-19 23:25:40,EDEN/USDT:USDT,청산,sell,0.06161,10.0,-0.005,-8.12,10,ID_3580202220042526720
2026-05-19 23:25:40,EDEN/USDT:USDT,청산,sell,0.06161,11.0,-0.0055,-8.12,10,ID_3580202220042526720
2026-05-19 23:25:40,EDEN/USDT:USDT,청산,sell,0.06161,1.0,-0.0005,-8.12,10,ID_3580202220042526720
2026-05-19 23:25:40,EDEN/USDT:USDT,청산,sell,0.06161,1.0,-0.0005,-8.12,10,ID_3580202220042526720
2026-05-19 23:25:40,EDEN/USDT:USDT,청산,sell,0.06161,1.0,-0.0005,-8.12,10,ID_3580202220042526720
2026-05-19 23:25:40,EDEN/USDT:USDT,청산,sell,0.06161,14.0,-0.007,-8.12,10,ID_3580202220042526720
2026-05-19 23:25:40,EDEN/USDT:USDT,청산,sell,0.06161,20.0,-0.01,-8.12,10,ID_3580202220042526720
2026-05-19 23:25:40,EDEN/USDT:USDT,청산,sell,0.06161,82.0,-0.041,-8.12,10,ID_3580202220042526720
2026-05-19 23:25:40,EDEN/USDT:USDT,청산,sell,0.06161,14.0,-0.007,-8.12,10,ID_3580202220042526720
2026-05-19 23:25:40,EDEN/USDT:USDT,청산,sell,0.06161,111.0,-0.0555,-8.12,10,ID_3580202220042526720
2026-05-19 23:26:03,EIGEN/USDT:USDT,진입,sell,0.1862,268.0,0.0,0.0,10,ID_3580202988204138496
2026-05-19 23:28:28,CRCL/USDT:USDT,청산,buy,111.29,0.1,-0.094,-8.45,10,ID_3580207832558149632
2026-05-19 23:28:28,CRCL/USDT:USDT,청산,buy,111.29,0.1,-0.094,-8.45,10,ID_3580207832558149632
2026-05-19 23:28:28,CRCL/USDT:USDT,청산,buy,111.29,0.2,-0.188,-8.45,10,ID_3580207832558149632
2026-05-19 23:28:35,W/USDT:USDT,진입,sell,0.01203,1378.0,0.0,0.0,10,ID_3580208077908156416
2026-05-19 23:28:35,W/USDT:USDT,진입,sell,0.01203,2774.0,0.0,0.0,10,ID_3580208077908156416
2026-05-19 23:48:05,METIS/USDT:USDT,청산,buy,3.36,147.0,0.5881,11.91,10,ID_3580247357330235392
2026-05-19 23:48:06,W/USDT:USDT,청산,buy,0.0119,4152.0,0.5398,10.92,10,ID_3580247388703629312
2026-05-19 23:48:29,COIN/USDT:USDT,진입,sell,189.02,0.26,0.0,0.0,10,ID_3580248130357239811
2026-05-19 23:48:35,EDEN/USDT:USDT,진입,buy,0.06219,773.0,0.0,0.0,10,ID_3580248345139159040
2026-05-19 23:48:35,EDEN/USDT:USDT,진입,buy,0.06219,31.0,0.0,0.0,10,ID_3580248345139159040
2026-05-19 23:54:13,EDEN/USDT:USDT,청산,sell,0.06284,6.0,0.0039,10.34,10,ID_3580259679255863296
2026-05-19 23:54:13,EDEN/USDT:USDT,청산,sell,0.06284,3.0,0.0019,10.34,10,ID_3580259679255863296
2026-05-19 23:54:13,EDEN/USDT:USDT,청산,sell,0.06284,1.0,0.0006,10.34,10,ID_3580259679255863296
2026-05-19 23:54:13,EDEN/USDT:USDT,청산,sell,0.06284,794.0,0.5161,10.34,10,ID_3580259679255863296
2026-05-19 23:54:14,TIA/USDT:USDT,진입,sell,0.3898,128.0,0.0,0.0,10,ID_3580259729017085952
2026-05-19 23:57:07,COIN/USDT:USDT,청산,buy,190.56,0.26,-0.4004,-8.08,10,ID_3580265542926409728
2026-05-19 23:57:45,NMR/USDT:USDT,청산,buy,9.234,53.0,0.5883,12.02,10,ID_3580266796519989248
2026-05-19 23:57:57,EDEN/USDT:USDT,진입,buy,0.064,749.0,0.0,0.0,10,ID_3580267210850115584
2026-05-19 23:57:57,EDEN/USDT:USDT,진입,buy,0.064,32.0,0.0,0.0,10,ID_3580267210850115584
2026-05-19 23:58:01,EDEN/USDT:USDT,청산,sell,0.06473,781.0,0.5701,11.28,10,ID_3580267332317159424
2026-05-19 23:58:11,EDEN/USDT:USDT,진입,buy,0.06572,77.0,0.0,0.0,10,ID_3580267669505646592
2026-05-19 23:58:11,EDEN/USDT:USDT,진입,buy,0.06572,681.0,0.0,0.0,10,ID_3580267669505646592
2026-05-19 23:58:20,EDEN/USDT:USDT,청산,sell,0.06534,758.0,-0.288,-5.82,10,ID_3580267986829910016
2026-05-20 00:00:00,EDEN/USDT:USDT,진입,buy,0.0646,460.0,0.0,0.0,10,ID_3580271331334365184
2026-05-20 00:00:00,EDEN/USDT:USDT,진입,buy,0.06461,313.0,0.0,0.0,10,ID_3580271331334365184
2026-05-20 00:01:03,TIA/USDT:USDT,청산,buy,0.3931,125.0,-0.4125,-8.39,10,ID_3580273430835175424
2026-05-20 00:01:03,TIA/USDT:USDT,청산,buy,0.3931,2.0,-0.0066,-8.39,10,ID_3580273430835175424
2026-05-20 00:01:03,TIA/USDT:USDT,청산,buy,0.3931,1.0,-0.0033,-8.39,10,ID_3580273430835175424
2026-05-20 00:02:06,EDEN/USDT:USDT,청산,sell,0.06408,773.0,-0.4051,-8.18,10,ID_3580275554327404544
2026-05-20 00:05:14,EDEN/USDT:USDT,진입,buy,0.06444,79.0,0.0,0.0,10,ID_3580281856386605056
2026-05-20 00:05:14,EDEN/USDT:USDT,진입,buy,0.06444,477.0,0.0,0.0,10,ID_3580281856386605056
2026-05-20 00:05:14,EDEN/USDT:USDT,진입,buy,0.06445,79.0,0.0,0.0,10,ID_3580281856386605056
2026-05-20 00:05:14,EDEN/USDT:USDT,진입,buy,0.06445,141.0,0.0,0.0,10,ID_3580281856386605056
2026-05-20 00:05:55,EDEN/USDT:USDT,청산,sell,0.06386,776.0,-0.4523,-9.13,10,ID_3580283231380119552
2026-05-20 00:07:40,EDEN/USDT:USDT,진입,buy,0.06394,736.0,0.0,0.0,10,ID_3580286765769105408
2026-05-20 00:07:40,EDEN/USDT:USDT,진입,buy,0.06394,46.0,0.0,0.0,10,ID_3580286765769105408
2026-05-20 00:15:49,EDEN/USDT:USDT,청산,sell,0.0634,782.0,-0.4223,-8.52,10,ID_3580303189220728832
2026-05-21 19:07:59,BTC/USDT:USDT,진입,long,67000.0,0.074627,0,0,10,ID_MOCK-000001
2026-05-21 19:07:59,DOGE/USDT:USDT,진입,long,0.15,3.333333,0,0,10,ID_MOCK-000001
2026-05-21 19:08:01,BTC/USDT:USDT,진입,long,67000.0,0.074627,0,0,10,ID_MOCK-000001
2026-05-21 19:08:01,BTC/USDT:USDT,진입,short,67000.0,0.074627,0,0,10,ID_MOCK-000001
2026-05-21 19:08:01,DOGE/USDT:USDT,청산(로테이션),long,0.13,100.0,-2.0,-133.33,10,ID_ROT-1779358081233
2026-05-21 19:10:00,BTC/USDT:USDT,진입,long,67000.0,0.074627,0,0,10,ID_MOCK-000001
2026-05-21 19:10:00,BTC/USDT:USDT,진입,long,67000.0,0.074627,0,0,10,ID_MOCK-000001
2026-05-21 19:10:01,SOL/USDT:USDT,진입,short,170.0,0.294118,0,0,10,ID_MOCK-000002
2026-05-21 19:10:01,XRP/USDT:USDT,진입,short,0.55,9.090909,0,0,10,ID_MOCK-000003
2026-05-21 19:10:02,BTC/USDT:USDT,진입,long,67000.0,0.074627,0,0,10,ID_MOCK-000001
2026-05-21 19:10:02,BTC/USDT:USDT,진입,short,67000.0,0.074627,0,0,10,ID_MOCK-000001
2026-05-21 19:10:02,DOGE/USDT:USDT,청산(로테이션),long,0.13,100.0,-2.0,-133.33,10,ID_ROT-1779358202635
2026-05-21 19:10:35,BTC/USDT:USDT,진입,long,67000.0,0.074627,0,0,10,ID_MOCK-000001
2026-05-21 19:10:36,DOGE/USDT:USDT,진입,long,0.15,3.333333,0,0,10,ID_MOCK-000001
2026-05-21 19:10:37,BTC/USDT:USDT,진입,long,67000.0,0.074627,0,0,10,ID_MOCK-000001
2026-05-21 19:10:37,BTC/USDT:USDT,진입,short,67000.0,0.074627,0,0,10,ID_MOCK-000001
2026-05-21 19:10:37,DOGE/USDT:USDT,청산(로테이션),long,0.13,100.0,-2.0,-133.33,10,ID_ROT-1779358237815
2026-05-21 19:12:11,BTC/USDT:USDT,진입,long,67000.0,0.074627,0,0,10,ID_MOCK-000001
2026-05-21 19:12:13,BTC/USDT:USDT,진입,long,67000.0,0.074627,0,0,10,ID_MOCK-000001
2026-05-21 19:12:13,BTC/USDT:USDT,진입,short,67000.0,0.074627,0,0,10,ID_MOCK-000001
2026-05-21 19:12:13,DOGE/USDT:USDT,청산(로테이션),long,0.13,100.0,-2.0,-133.33,10,ID_ROT-1779358333911
2026-05-21 19:17:01,BTC/USDT:USDT,진입,long,67000.0,0.037313,0,0,5,ID_MOCK-000001
2026-05-21 19:17:02,SOL/USDT:USDT,진입,short,170.0,0.147059,0,0,5,ID_MOCK-000001
2026-05-21 19:17:03,BTC/USDT:USDT,진입,long,67000.0,0.037313,0,0,5,ID_MOCK-000001
2026-05-21 19:17:03,BTC/USDT:USDT,진입,short,67000.0,0.037313,0,0,5,ID_MOCK-000001
2026-05-21 19:17:03,DOGE/USDT:USDT,청산(로테이션),long,0.13,100.0,-2.0,-66.67,5,ID_ROT-1779358623932
2026-05-21 22:19:06,PUMPBTC/USDT:USDT,진입,short,0.01424,1754.0,0,0,5,ID_664824077
2026-05-21 22:19:25,COOKIE/USDT:USDT,진입,short,0.018,2779.0,0,0,10,ID_1635633607
2026-05-21 22:19:56,SXT/USDT:USDT,진입,short,0.01175,4251.0,0,0,10,ID_717960431
2026-05-21 22:20:10,TOWNS/USDT:USDT,진입,short,0.003454,14471.0,0,0,10,ID_522589893
2026-05-21 22:20:34,STABLE/USDT:USDT,진입,short,0.0348622,716.0,0,0,5,ID_882253948
2026-05-21 22:20:35,VIC/USDT:USDT,진입,long,0.0530249,943.0,0,0,10,ID_564777210
2026-05-21 22:23:06,COOKIE/USDT:USDT,청산,buy,0.01814,2779.0,-0.3891,-7.72,10,ID_1635643458
2026-05-21 22:27:47,BTC/USDT:USDT,진입,long,67000.0,0.037313,0,0,5,ID_MOCK-000001
2026-05-21 22:27:49,BTC/USDT:USDT,진입,long,67000.0,0.037313,0,0,5,ID_MOCK-000001
2026-05-21 22:27:49,BTC/USDT:USDT,진입,short,67000.0,0.037313,0,0,5,ID_MOCK-000001
2026-05-21 22:27:49,DOGE/USDT:USDT,청산(로테이션),long,0.13,100.0,-2.0,-66.67,5,ID_ROT-1779370069627
2026-05-21 22:23:06,COOKIE/USDT:USDT,청산,buy,0.01814,2779.0,-0.3891,-3.86,5,ID_1635643458
2026-05-21 22:23:06,COOKIE/USDT:USDT,청산,buy,0.01814,2779.0,-0.3891,-3.86,5,ID_1635643458
2026-05-21 22:35:22,BTC/USDT:USDT,진입,long,67000.0,0.037313,0,0,5,ID_MOCK-000001
2026-05-21 22:35:23,DOGE/USDT:USDT,진입,long,0.15,1.666667,0,0,5,ID_MOCK-000001
2026-05-21 22:35:23,XRP/USDT:USDT,진입,short,0.55,4.545455,0,0,5,ID_MOCK-000002
2026-05-21 22:35:24,BTC/USDT:USDT,진입,long,67000.0,0.037313,0,0,5,ID_MOCK-000001
2026-05-21 22:35:24,BTC/USDT:USDT,진입,short,67000.0,0.037313,0,0,5,ID_MOCK-000001
2026-05-21 22:35:24,DOGE/USDT:USDT,청산(로테이션),long,0.13,100.0,-2.0,-66.67,5,ID_ROT-1779370524803
2026-05-21 22:36:32,ASR/USDT:USDT,진입,short,1.108,22.5,0,0,5,ID_553649811
2026-05-21 22:36:32,WCT/USDT:USDT,진입,short,0.06434,388.0,0,0,5,ID_2104172573
2026-05-21 22:36:29,STABLE/USDT:USDT,청산,buy,0.0344,716.0,0.3309,6.72,5,ID_882263084
2026-05-21 22:39:27,BTC/USDT:USDT,진입,long,67000.0,0.037313,0,0,5,ID_MOCK-000001
2026-05-21 22:39:27,BTC/USDT:USDT,진입,long,67000.0,0.037313,0,0,5,ID_MOCK-000001
2026-05-21 22:39:28,SOL/USDT:USDT,진입,short,170.0,0.147059,0,0,5,ID_MOCK-000002
2026-05-21 22:39:30,BTC/USDT:USDT,진입,long,67000.0,0.037313,0,0,5,ID_MOCK-000001
2026-05-21 22:39:30,BTC/USDT:USDT,진입,short,67000.0,0.037313,0,0,5,ID_MOCK-000001
2026-05-21 22:39:30,DOGE/USDT:USDT,청산(로테이션),long,0.13,100.0,-2.0,-66.67,5,ID_ROT-1779370770050
2026-05-21 22:36:29,STABLE/USDT:USDT,청산,buy,0.0344,716.0,0.3309,13.44,10,ID_882263084
2026-05-21 22:40:12,BTC/USDT:USDT,진입,long,67000.0,0.037313,0,0,5,ID_MOCK-000001
2026-05-21 22:40:14,BTC/USDT:USDT,진입,long,67000.0,0.037313,0,0,5,ID_MOCK-000001
2026-05-21 22:40:14,BTC/USDT:USDT,진입,short,67000.0,0.037313,0,0,5,ID_MOCK-000001
2026-05-21 22:40:14,DOGE/USDT:USDT,청산(로테이션),long,0.13,100.0,-2.0,-66.67,5,ID_ROT-1779370814398
2026-05-21 22:36:29,STABLE/USDT:USDT,청산,buy,0.0344,716.0,0.3309,6.72,5,ID_882263084
2026-05-21 22:42:20,TOWNS/USDT:USDT,청산,buy,0.003418,14471.0,0.521,5.27,5,ID_522606721
2026-05-21 22:42:20,TOWNS/USDT:USDT,청산,buy,0.003418,14471.0,0.521,10.53,10,ID_522606721
2026-05-21 22:42:20,TOWNS/USDT:USDT,청산,buy,0.003418,14471.0,0.521,5.27,5,ID_522606721
2026-05-21 22:36:29,STABLE/USDT:USDT,청산,buy,0.0344,716.0,0.3309,6.72,5,ID_882263084
2026-05-21 22:42:20,TOWNS/USDT:USDT,청산,buy,0.003418,14471.0,0.521,5.27,5,ID_522606721
2026-05-21 22:47:39,BTC/USDT:USDT,진입,long,67000.0,0.037313,0,0,5,ID_MOCK-000001
2026-05-21 22:47:40,ETH/USDT:USDT,진입,short,3800.0,0.065789,0,0,5,ID_MOCK-000001
2026-05-21 22:47:42,BTC/USDT:USDT,진입,long,67000.0,0.037313,0,0,5,ID_MOCK-000001
2026-05-21 22:47:42,BTC/USDT:USDT,진입,short,67000.0,0.037313,0,0,5,ID_MOCK-000001
2026-05-21 22:47:42,DOGE/USDT:USDT,청산(로테이션),long,0.13,100.0,-2.0,-66.67,5,ID_ROT-1779371262090
2026-05-21 22:48:42,BTC/USDT:USDT,진입,long,67000.0,0.037313,0,0,5,ID_MOCK-000001
2026-05-21 22:48:43,ETH/USDT:USDT,진입,long,3800.0,0.065789,0,0,5,ID_MOCK-000001
2026-05-21 22:48:44,BTC/USDT:USDT,진입,long,67000.0,0.037313,0,0,5,ID_MOCK-000001
2026-05-21 22:48:44,BTC/USDT:USDT,진입,short,67000.0,0.037313,0,0,5,ID_MOCK-000001
2026-05-21 22:48:44,DOGE/USDT:USDT,청산(로테이션),long,0.13,100.0,-2.0,-66.67,5,ID_ROT-1779371324710
2026-05-21 22:42:20,TOWNS/USDT:USDT,청산,buy,0.003418,14471.0,0.521,5.27,5,ID_522606721
2026-05-21 22:52:56,BTC/USDT:USDT,진입,long,67000.0,0.037313,0,0,5,ID_MOCK-000001
2026-05-21 22:52:57,XRP/USDT:USDT,진입,long,0.55,4.545455,0,0,5,ID_MOCK-000001
2026-05-21 22:52:58,BTC/USDT:USDT,진입,long,67000.0,0.037313,0,0,5,ID_MOCK-000001
2026-05-21 22:52:58,BTC/USDT:USDT,진입,short,67000.0,0.037313,0,0,5,ID_MOCK-000001
2026-05-21 22:52:58,DOGE/USDT:USDT,청산(로테이션),long,0.13,100.0,-2.0,-66.67,5,ID_ROT-1779371578232
2026-05-21 22:56:05,BTC/USDT:USDT,진입,long,67000.0,0.037313,0,0,5,ID_MOCK-000001
